,fidelityError,numberFidelityFunctionCalls
0,0.007262657280016405,66
1,0.009712086191091207,246
2,0.009512267221910342,160
3,0.00992937088547019,167
4,0.009128054327499635,100
5,0.009495233707326856,37
6,0.014526166710356891,323
7,0.009895605451400558,29
8,0.009833339649555684,282
9,0.005689729481297645,134
10,0.009717972590608914,35
11,0.00944166664988344,56
12,0.008165885054354893,207
13,0.009302121728170576,99
14,0.043000199128033656,137
15,0.0022864865638886345,74
16,0.005724620976250927,76
17,0.008517002836022525,29
18,0.009445202886025239,69
19,0.008673007749350092,38
20,0.009872244796566454,252
21,0.00906414584622628,26
22,0.02372200674932845,267
23,0.00982677961229339,88
24,0.004690559727187238,13
25,0.007731471557330227,50
26,0.01135750733856944,242
27,0.009543085116606731,109
28,0.04022993589753243,231
29,0.012020802675756004,299
30,0.009521943363965946,101
31,0.009711909096592697,75
32,0.009531090693888689,92
33,0.009814421629824266,67
34,0.009616346765935258,67
35,0.00865161840114903,75
36,0.009425631038832538,161
37,0.032208101418556234,198
38,0.009571619424594613,186
39,0.008289655506696136,56
40,0.009133276021718206,90
41,0.009815711778256686,146
42,0.009861657355573539,104
43,0.0099257112763399,27
44,0.024389576971881932,247
45,0.008378255627925268,71
46,0.007851802484101333,54
47,0.034760810718528434,283
48,0.007769424359693966,29
49,0.004038058532644384,200
50,0.007241924381844345,144
51,0.005951254147248508,78
52,0.009581109619667183,181
53,0.009616159778160993,163
54,0.009987063108451322,35
55,0.013621574794445812,273
56,0.051948308451670644,340
57,0.009502846428890543,28
58,0.010798424341471602,176
59,0.05037827182249788,225
60,0.009928084603668008,57
61,0.009258531933300618,50
62,0.009583381424038584,83
63,0.00818775801533922,91
64,0.00342495825283029,65
65,0.007851515890733518,100
66,0.005197536078803244,79
67,0.009815943728083809,66
68,0.009867818721342236,195
69,0.036021921367645815,221
70,0.005645939609442041,61
71,0.009230827801909869,91
72,0.009923793563493821,44
73,0.008744304771428513,50
74,0.008726801431785614,346
75,0.00894122947684528,133
76,0.008898038508734163,46
77,0.009170743004351167,207
78,0.00884724137264814,246
79,0.009590131386438827,173
80,0.008315313424346105,192
81,0.006192579560763356,66
82,0.008288525429405613,116
83,0.009461264017610382,59
84,0.009954752639777742,81
85,0.009691036966485322,118
86,0.05009609750798816,204
87,0.009877411712557627,204
88,0.07955469970829743,225
89,0.016816318287742993,294
90,0.007896572104028055,73
91,0.002580543368067789,36
92,0.009604230183675067,91
93,0.009707428828129805,73
94,0.009703443026732761,111
95,0.04633452279341388,205
96,0.023419952031145774,378
97,0.00947631067219945,63
98,0.009412132570530418,105
99,0.0167823583068486,254
100,0.008675322349033454,152
101,0.012401001212018037,251
102,0.008658999963286229,50
103,0.009864070562794813,256
104,0.009493961546932828,151
105,0.011345527202409444,150
106,0.00934762691876001,195
107,0.008746749924380626,73
108,0.009911057239577414,139
109,0.11667054392915888,248
110,0.005280245193675315,54
111,0.009193369814026853,134
112,0.05031591188615192,166
113,0.008569253612255912,6
114,0.007041570984242629,98
115,0.009867834349444382,118
116,0.005098420814370508,230
117,0.009872154552091894,78
118,0.009863424015507882,79
119,0.008095240428561357,59
120,0.00968254396343926,124
121,0.00885467208588342,109
122,0.007734291654240666,40
123,0.007566347058164724,16
124,0.009964299026263279,115
125,0.019206961690671154,199
126,0.005866394478914683,19
127,0.009999817970106517,150
128,0.009880819067820346,422
129,0.009814825459394272,254
130,0.009739660047391352,194
131,0.009053448850993795,105
132,0.009130185851597972,66
133,0.008713398451012044,151
134,0.003255091948618949,45
135,0.007884492353439354,66
136,0.0007567756065665066,50
137,0.009900716247002395,75
138,0.00631313590839111,160
139,0.021043648211113486,174
140,0.009646775465244839,152
141,0.0095881453564306,90
142,0.008462082130132553,114
143,0.009617633947777038,78
144,0.008091785764240078,102
145,0.03887521789063875,194
146,0.03754419729980785,236
147,0.007626780030455804,153
148,0.008522151857875748,100
149,0.009459825378781872,276
150,0.009493665029099652,40
151,0.00933076153274981,46
152,0.008349528449098087,124
153,0.008977223178124771,74
154,0.02511936085168842,156
155,0.007398960098749741,98
156,0.008085068931339423,93
157,0.03013113084105401,234
158,0.009507901767405458,119
159,0.027333013105597104,189
160,0.00903809017312629,152
161,0.009483013833202492,47
162,0.01781863586087229,234
163,0.02083185812897681,181
164,0.009964246490593465,112
165,0.04395431934080207,282
166,0.04680854544219293,156
167,0.015231444601676913,199
168,0.008610130866920418,51
169,0.009355179448819362,55
170,0.010834842617510554,259
171,0.021776755541464632,360
172,0.009177737126670027,111
173,0.009769687995074161,55
174,0.007797800712511127,256
175,0.00998757993756405,93
176,0.009349924416208744,22
177,0.005539265987079656,83
178,0.007336814839716377,33
179,0.008996681505195059,117
180,0.009253719473268585,28
181,0.009766888819912278,91
182,0.008752512536954415,42
183,0.008308434231441342,66
184,0.025167620312682715,253
185,0.009996590870805067,128
186,0.008418982427888855,32
187,0.009661921490708547,74
188,0.008199890798174847,221
189,0.009444234223600079,143
190,0.009832858717318982,96
191,0.019627016177659162,179
192,0.006004674218048844,40
193,0.03440733425971565,271
194,0.00873890475109862,167
195,0.008831321471200138,94
196,0.022153862462261587,302
197,0.006314282275921901,59
198,0.008643118864487875,74
199,0.009460171004441742,43
